DATA;TIPO_JOIA;TIPO_PEDRA;TIPO_MARCA;LOJA;PRECO
2022-01;ANEL;DIAMANTE;INTERNACIONAL;A;10320
2022-01;COLAR;OUTRAS;INTERNACIONAL;A;11781
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;18144
2022-01;BRINCO;DIAMANTE;INTERNACIONAL;A;12948
2022-01;COLAR;DIAMANTE;INTERNACIONAL;A;20664
2022-01;ANEL;DIAMANTE;NACIONAL;A;5184
2022-01;PINGENTE;OUTRAS;INTERNACIONAL;A;2112
2022-01;COLAR;SEM PEDRA;INTERNACIONAL;A;5103
2022-01;COLAR;OUTRAS;INTERNACIONAL;A;11365
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;17928
2022-01;PULSEIRA;DIAMANTE;NACIONAL;A;9676
2022-01;BRINCO;OUTRAS;INTERNACIONAL;A;7293
2022-01;BRINCO;SEM PEDRA;INTERNACIONAL;A;3354
2022-01;PINGENTE;DIAMANTE;INTERNACIONAL;A;4176
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;19008
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;19224
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;A;10692
2022-01;PINGENTE;DIAMANTE;INTERNACIONAL;A;4368
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;A;19872
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;A;11048
2022-01;COLAR;SEM PEDRA;INTERNACIONAL;A;5922
2022-01;ANEL;OUTRAS;INTERNACIONAL;B;6270
2022-01;COLAR;OUTRAS;NACIONAL;B;7096
2022-01;ANEL;OUTRAS;INTERNACIONAL;B;6402
2022-01;COLAR;OUTRAS;INTERNACIONAL;B;13582
2022-01;COLAR;OUTRAS;NACIONAL;B;7318
2022-01;ANEL;OUTRAS;INTERNACIONAL;B;6600
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;8665
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;8751
2022-01;COLAR;OUTRAS;NACIONAL;B;7613
2022-01;ANEL;OUTRAS;INTERNACIONAL;B;6864
2022-01;PULSEIRA;OUTRAS;NACIONAL;B;6652
2022-01;COLAR;DIAMANTE;INTERNACIONAL;B;26712
2022-01;PULSEIRA;OUTRAS;NACIONAL;B;6779
2022-01;PINGENTE;OUTRAS;INTERNACIONAL;B;2851
2022-01;BRINCO;OUTRAS;NACIONAL;B;4987
2022-01;BRINCO;OUTRAS;NACIONAL;B;5033
2022-01;COLAR;SEM PEDRA;NACIONAL;B;3729
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;B;13305
2022-01;ANEL;OUTRAS;INTERNACIONAL;B;7458
2022-01;COLAR;OUTRAS;INTERNACIONAL;B;15800
2022-01;BRINCO;OUTRAS;NACIONAL;B;5262
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;9952
2022-01;PULSEIRA;OUTRAS;NACIONAL;B;7413
2022-01;ANEL;OUTRAS;NACIONAL;B;4153
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;10210
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;10296
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;10210
2022-01;PINGENTE;OUTRAS;NACIONAL;B;1661
2022-01;ANEL;DIAMANTE;NACIONAL;B;7488
2022-01;ANEL;OUTRAS;NACIONAL;B;4083
2022-01;BRINCO;OUTRAS;NACIONAL;B;5262
2022-01;PULSEIRA;DIAMANTE;NACIONAL;B;13132
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;B;13424
2022-01;PULSEIRA;OUTRAS;NACIONAL;B;7096
2022-01;COLAR;OUTRAS;INTERNACIONAL;B;15384
2022-01;PINGENTE;OUTRAS;INTERNACIONAL;B;2904
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;B;12949
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;B;12830
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;B;23112
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;9094
2022-01;PULSEIRA;OUTRAS;NACIONAL;B;6652
2022-01;PULSEIRA;SEM PEDRA;INTERNACIONAL;B;5616
2022-01;PINGENTE;OUTRAS;INTERNACIONAL;B;2719
2022-01;BRINCO;OUTRAS;NACIONAL;B;4667
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;8665
2022-01;PULSEIRA;OUTRAS;NACIONAL;B;6336
2022-01;BRINCO;SEM PEDRA;INTERNACIONAL;B;3861
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;8408
2022-01;COLAR;DIAMANTE;INTERNACIONAL;B;24444
2022-01;BRINCO;DIAMANTE;NACIONAL;B;7987
2022-01;PULSEIRA;SEM PEDRA;INTERNACIONAL;B;5130
2022-01;PULSEIRA;SEM PEDRA;NACIONAL;B;2707
2022-01;PINGENTE;OUTRAS;INTERNACIONAL;B;2455
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;B;10929
2022-01;PULSEIRA;OUTRAS;NACIONAL;B;5765
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;B;10692
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;B;19224
2022-01;ANEL;OUTRAS;NACIONAL;B;3097
2022-01;COLAR;DIAMANTE;INTERNACIONAL;B;21924
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;B;10216
2022-01;BRINCO;DIAMANTE;INTERNACIONAL;B;13260
2022-01;COLAR;OUTRAS;NACIONAL;B;6209
2022-01;PINGENTE;SEM PEDRA;INTERNACIONAL;B;996
2022-01;BRINCO;OUTRAS;NACIONAL;B;3752
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;6949
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;6864
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;6949
2022-01;ANEL;DIAMANTE;INTERNACIONAL;B;9840
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;B;9860
2022-01;COLAR;DIAMANTE;INTERNACIONAL;B;21168
2022-01;BRINCO;OUTRAS;NACIONAL;B;3889
2022-01;PINGENTE;OUTRAS;INTERNACIONAL;B;2270
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;7464
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;B;19008
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;B;10573
2022-01;BRINCO;OUTRAS;INTERNACIONAL;B;7722
2022-01;PINGENTE;SEM PEDRA;NACIONAL;C;582
2022-01;COLAR;OUTRAS;INTERNACIONAL;C;12751
2022-01;ANEL;OUTRAS;NACIONAL;C;3273
2022-01;PINGENTE;OUTRAS;INTERNACIONAL;C;2481
2022-01;BRINCO;OUTRAS;NACIONAL;C;4347
2022-01;ANEL;OUTRAS;INTERNACIONAL;C;6336
2022-01;PINGENTE;OUTRAS;NACIONAL;C;1365
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;C;11642
2022-01;ANEL;OUTRAS;NACIONAL;C;3484
2022-01;PINGENTE;OUTRAS;NACIONAL;C;1408
2022-01;BRINCO;OUTRAS;NACIONAL;C;4621
2022-01;ANEL;OUTRAS;NACIONAL;C;3590
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;C;12236
2022-01;BRINCO;OUTRAS;INTERNACIONAL;C;8923
2022-01;COLAR;SEM PEDRA;NACIONAL;C;3528
2022-01;PULSEIRA;OUTRAS;INTERNACIONAL;C;12592
2022-01;ANEL;SEM PEDRA;NACIONAL;C;1712
2022-01;COLAR;OUTRAS;NACIONAL;C;7983
2022-01;COLAR;OUTRAS;NACIONAL;C;8057
2022-01;BRINCO;OUTRAS;NACIONAL;C;5033
2022-01;BRINCO;OUTRAS;INTERNACIONAL;C;9523
2022-01;ANEL;OUTRAS;NACIONAL;C;3942
2022-01;ANEL;OUTRAS;INTERNACIONAL;C;7458
2022-01;BRINCO;OUTRAS;NACIONAL;C;5216
2022-01;ANEL;SEM PEDRA;NACIONAL;C;1840
2022-01;ANEL;SEM PEDRA;NACIONAL;C;1856
2022-01;BRINCO;SEM PEDRA;NACIONAL;C;2433
2022-01;PINGENTE;OUTRAS;NACIONAL;C;1661
2022-01;ANEL;SEM PEDRA;NACIONAL;C;1904
2022-01;ANEL;DIAMANTE;NACIONAL;C;7680
2022-01;ANEL;SEM PEDRA;NACIONAL;C;1904
2022-01;ANEL;OUTRAS;NACIONAL;C;4153
2022-01;BRINCO;SEM PEDRA;INTERNACIONAL;C;4563
2022-01;BRINCO;SEM PEDRA;INTERNACIONAL;C;4524
2022-01;PINGENTE;SEM PEDRA;NACIONAL;C;736
2022-01;PULSEIRA;OUTRAS;NACIONAL;C;7223
2022-01;ANEL;OUTRAS;NACIONAL;C;3977
2022-01;BRINCO;OUTRAS;NACIONAL;C;5125
2022-01;BRINCO;SEM PEDRA;NACIONAL;C;2308
2022-01;BRINCO;OUTRAS;NACIONAL;C;5033
2022-01;BRINCO;SEM PEDRA;NACIONAL;C;2267
2022-01;BRINCO;DIAMANTE;NACIONAL;C;8985
2022-01;COLAR;SEM PEDRA;NACIONAL;C;3595
2022-01;ANEL;OUTRAS;NACIONAL;C;3731
2022-01;PINGENTE;OUTRAS;NACIONAL;C;1478
2022-01;PULSEIRA;OUTRAS;NACIONAL;C;6589
2022-01;BRINCO;OUTRAS;INTERNACIONAL;C;8837
2022-01;COLAR;SEM PEDRA;NACIONAL;C;3427
2022-01;COLAR;OUTRAS;NACIONAL;C;7465
2022-01;COLAR;OUTRAS;NACIONAL;C;7392
2022-01;ANEL;SEM PEDRA;NACIONAL;C;1584
2022-01;ANEL;SEM PEDRA;NACIONAL;C;1568
2022-01;ANEL;SEM PEDRA;INTERNACIONAL;C;2910
2022-01;ANEL;OUTRAS;NACIONAL;C;3379
2022-01;PINGENTE;SEM PEDRA;NACIONAL;C;608
2022-01;PINGENTE;OUTRAS;INTERNACIONAL;C;2481
2022-01;ANEL;SEM PEDRA;NACIONAL;C;1488
2022-01;PINGENTE;SEM PEDRA;NACIONAL;D;588
2022-01;ANEL;DIAMANTE;NACIONAL;D;5824
2022-01;ANEL;SEM PEDRA;NACIONAL;D;1440
2022-01;ANEL;SEM PEDRA;NACIONAL;D;1424
2022-01;ANEL;SEM PEDRA;NACIONAL;D;1408
2022-01;BRINCO;SEM PEDRA;NACIONAL;D;1809
2022-01;ANEL;SEM PEDRA;NACIONAL;D;1376
2022-01;PINGENTE;SEM PEDRA;INTERNACIONAL;D;1020
2022-01;ANEL;SEM PEDRA;NACIONAL;D;1344
2022-01;PULSEIRA;SEM PEDRA;NACIONAL;D;2390
2022-01;ANEL;OUTRAS;INTERNACIONAL;D;5412
2022-01;PINGENTE;SEM PEDRA;NACIONAL;D;518
2022-01;PINGENTE;SEM PEDRA;NACIONAL;D;512
2022-01;PINGENTE;SEM PEDRA;INTERNACIONAL;D;972
2022-01;ANEL;DIAMANTE;NACIONAL;D;5248
2022-01;ANEL;SEM PEDRA;INTERNACIONAL;D;2490
2022-01;PINGENTE;SEM PEDRA;NACIONAL;D;537
2022-01;PINGENTE;SEM PEDRA;INTERNACIONAL;D;1020
2022-01;COLAR;SEM PEDRA;NACIONAL;D;2889
2022-01;ANEL;DIAMANTE;NACIONAL;D;5568
2022-01;ANEL;OUTRAS;NACIONAL;D;3097
2022-01;BRINCO;OUTRAS;NACIONAL;D;4072
2022-01;ANEL;OUTRAS;NACIONAL;D;3168
2022-01;ANEL;SEM PEDRA;NACIONAL;D;1456
2022-01;PINGENTE;SEM PEDRA;INTERNACIONAL;D;1104
2022-01;PINGENTE;SEM PEDRA;NACIONAL;D;595
2022-01;ANEL;DIAMANTE;NACIONAL;D;6016
2022-01;PULSEIRA;DIAMANTE;INTERNACIONAL;D;20520
2022-01;ANEL;OUTRAS;NACIONAL;D;3379
2022-01;PINGENTE;SEM PEDRA;NACIONAL;D;620
2022-01;PINGENTE;SEM PEDRA;NACIONAL;D;627
2022-01;PINGENTE;DIAMANTE;NACIONAL;D;2534
2022-01;PINGENTE;SEM PEDRA;NACIONAL;D;640
2022-01;ANEL;SEM PEDRA;INTERNACIONAL;D;3030
2022-01;PULSEIRA;SEM PEDRA;NACIONAL;D;2937
2022-01;PINGENTE;SEM PEDRA;NACIONAL;D;659
2022-01;BRINCO;SEM PEDRA;NACIONAL;D;2163
2022-01;PINGENTE;OUTRAS;NACIONAL;D;1478
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;A;12592
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;26964
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;27216
2022-02;PINGENTE;DIAMANTE;NACIONAL;A;2790
2022-02;PINGENTE;OUTRAS;NACIONAL;A;1548
2022-02;PINGENTE;OUTRAS;INTERNACIONAL;A;2930
2022-02;BRINCO;DIAMANTE;NACIONAL;A;9318
2022-02;COLAR;OUTRAS;NACIONAL;A;8352
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;28728
2022-02;PINGENTE;DIAMANTE;INTERNACIONAL;A;5520
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;25056
2022-02;COLAR;DIAMANTE;NACIONAL;A;15724
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;29736
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;29988
2022-02;ANEL;DIAMANTE;NACIONAL;A;7680
2022-02;PINGENTE;DIAMANTE;INTERNACIONAL;A;5712
2022-02;ANEL;OUTRAS;INTERNACIONAL;A;7788
2022-02;BRINCO;SEM PEDRA;INTERNACIONAL;A;4563
2022-02;COLAR;OUTRAS;INTERNACIONAL;A;16077
2022-02;COLAR;SEM PEDRA;INTERNACIONAL;A;7245
2022-02;BRINCO;SEM PEDRA;INTERNACIONAL;A;4446
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;28476
2022-02;COLAR;DIAMANTE;NACIONAL;A;15052
2022-02;COLAR;OUTRAS;INTERNACIONAL;A;15384
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;27720
2022-02;COLAR;SEM PEDRA;NACIONAL;A;3662
2022-02;PULSEIRA;DIAMANTE;NACIONAL;A;12441
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;26964
2022-02;ANEL;DIAMANTE;INTERNACIONAL;A;12720
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;26460
2022-02;ANEL;DIAMANTE;INTERNACIONAL;A;12480
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;A;12236
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;22032
2022-02;PULSEIRA;SEM PEDRA;NACIONAL;A;2908
2022-02;COLAR;SEM PEDRA;NACIONAL;A;3360
2022-02;BRINCO;DIAMANTE;INTERNACIONAL;A;15444
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;21168
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;24444
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;20736
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;23940
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;20304
2022-02;COLAR;OUTRAS;INTERNACIONAL;A;12889
2022-02;COLAR;SEM PEDRA;INTERNACIONAL;A;5796
2022-02;BRINCO;DIAMANTE;INTERNACIONAL;A;14196
2022-02;ANEL;OUTRAS;INTERNACIONAL;A;5940
2022-02;BRINCO;DIAMANTE;INTERNACIONAL;A;13884
2022-02;ANEL;OUTRAS;NACIONAL;A;3097
2022-02;BRINCO;DIAMANTE;INTERNACIONAL;A;13572
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;A;10216
2022-02;ANEL;DIAMANTE;INTERNACIONAL;A;10200
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;18144
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;17928
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;20664
2022-02;ANEL;DIAMANTE;INTERNACIONAL;A;9720
2022-02;ANEL;DIAMANTE;INTERNACIONAL;A;9600
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;20412
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;17712
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;20916
2022-02;PULSEIRA;DIAMANTE;NACIONAL;A;9676
2022-02;COLAR;DIAMANTE;NACIONAL;A;11424
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;21672
2022-02;PULSEIRA;DIAMANTE;NACIONAL;A;10022
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;19008
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;22428
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;19440
2022-02;BRINCO;DIAMANTE;NACIONAL;A;7571
2022-02;PINGENTE;DIAMANTE;INTERNACIONAL;A;4416
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;23436
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;20304
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;20520
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;24192
2022-02;PINGENTE;OUTRAS;NACIONAL;A;1365
2022-02;PULSEIRA;OUTRAS;NACIONAL;A;6209
2022-02;BRINCO;OUTRAS;NACIONAL;A;4530
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;21600
2022-02;PINGENTE;OUTRAS;INTERNACIONAL;A;2666
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;A;12117
2022-02;PULSEIRA;SEM PEDRA;INTERNACIONAL;A;5562
2022-02;COLAR;DIAMANTE;NACIONAL;A;13977
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;22680
2022-02;ANEL;DIAMANTE;INTERNACIONAL;A;12720
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;23112
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;23328
2022-02;ANEL;OUTRAS;NACIONAL;A;3836
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;23760
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;A;13186
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;24192
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;A;13424
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;24624
2022-02;PULSEIRA;DIAMANTE;NACIONAL;A;13248
2022-02;COLAR;DIAMANTE;INTERNACIONAL;A;29232
2022-02;COLAR;SEM PEDRA;NACIONAL;A;3931
2022-02;PINGENTE;DIAMANTE;INTERNACIONAL;A;5664
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;25704
2022-02;PULSEIRA;SEM PEDRA;INTERNACIONAL;A;6480
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;A;14137
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;25488
2022-02;COLAR;OUTRAS;INTERNACIONAL;A;16216
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;A;25056
2022-02;COLAR;DIAMANTE;NACIONAL;A;15456
2022-02;PULSEIRA;DIAMANTE;NACIONAL;A;13132
2022-02;PINGENTE;OUTRAS;INTERNACIONAL;A;2983
2022-02;PINGENTE;DIAMANTE;INTERNACIONAL;A;5376
2022-02;PULSEIRA;DIAMANTE;NACIONAL;A;12787
2022-02;PULSEIRA;DIAMANTE;NACIONAL;B;12672
2022-02;BRINCO;OUTRAS;INTERNACIONAL;B;9352
2022-02;ANEL;OUTRAS;NACIONAL;B;3801
2022-02;COLAR;OUTRAS;INTERNACIONAL;B;14830
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;B;12592
2022-02;BRINCO;SEM PEDRA;INTERNACIONAL;B;4095
2022-02;BRINCO;DIAMANTE;INTERNACIONAL;B;16224
2022-02;BRINCO;SEM PEDRA;NACIONAL;B;2142
2022-02;PULSEIRA;SEM PEDRA;INTERNACIONAL;B;5508
2022-02;BRINCO;OUTRAS;INTERNACIONAL;B;8665
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;B;11880
2022-02;BRINCO;DIAMANTE;INTERNACIONAL;B;15444
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;B;11642
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;B;11523
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;B;11404
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;B;20520
2022-02;PULSEIRA;SEM PEDRA;INTERNACIONAL;B;5076
2022-02;COLAR;OUTRAS;INTERNACIONAL;B;12889
2022-02;COLAR;OUTRAS;INTERNACIONAL;B;12751
2022-02;BRINCO;SEM PEDRA;NACIONAL;B;1892
2022-02;BRINCO;OUTRAS;INTERNACIONAL;B;7722
2022-02;COLAR;OUTRAS;INTERNACIONAL;B;12335
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;B;19008
2022-02;BRINCO;OUTRAS;INTERNACIONAL;B;7464
2022-02;BRINCO;OUTRAS;NACIONAL;B;3935
2022-02;PULSEIRA;OUTRAS;NACIONAL;B;5385
2022-02;BRINCO;OUTRAS;NACIONAL;B;3843
2022-02;BRINCO;OUTRAS;INTERNACIONAL;B;7121
2022-02;ANEL;OUTRAS;INTERNACIONAL;B;5412
2022-02;PINGENTE;OUTRAS;NACIONAL;B;1140
2022-02;PULSEIRA;SEM PEDRA;NACIONAL;B;2304
2022-02;BRINCO;OUTRAS;INTERNACIONAL;B;6949
2022-02;PULSEIRA;OUTRAS;NACIONAL;B;5195
2022-02;PINGENTE;OUTRAS;INTERNACIONAL;B;2191
2022-02;COLAR;OUTRAS;INTERNACIONAL;B;11642
2022-02;COLAR;SEM PEDRA;INTERNACIONAL;B;5355
2022-02;PULSEIRA;DIAMANTE;INTERNACIONAL;B;18576
2022-02;COLAR;OUTRAS;INTERNACIONAL;B;12058
2022-02;BRINCO;OUTRAS;INTERNACIONAL;B;7550
2022-02;COLAR;OUTRAS;INTERNACIONAL;B;12335
2022-02;PULSEIRA;DIAMANTE;NACIONAL;B;10368
2022-02;ANEL;OUTRAS;INTERNACIONAL;B;6006
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;B;10929
2022-02;COLAR;OUTRAS;INTERNACIONAL;B;12889
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;B;11167
2022-02;BRINCO;DIAMANTE;NACIONAL;B;7904
2022-02;PULSEIRA;OUTRAS;INTERNACIONAL;B;11404
2022-02;BRINCO;DIAMANTE;NACIONAL;B;8070
2022-02;PULSEIRA;OUTRAS;NACIONAL;B;6209
2022-02;BRINCO;SEM PEDRA;INTERNACIONAL;B;3861
2022-02;COLAR;OUTRAS;INTERNACIONAL;B;13860
2022-02;BRINCO;SEM PEDRA;NACIONAL;B;2100
2022-02;BRINCO;OUTRAS;INTERNACIONAL;B;8751
