LOCALIZACAO_LOJA;TIPO_JOIA;MARCA;TIPO_OURO;TIPO_PEDRA;PRECO
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO AMARELO;ESMERALDA;7200
SHOPPING A;ALIANÇA;MARCA INTERNACIONAL;OURO ROSÉ;OUTRAS PEDRAS;9900
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;DIAMANTE;13440
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO BRANCO;TURMALINA PARAÍBA;8640
SHOPPING A;ANEL;SEM MARCA;OURO BRANCO;ESMERALDA;2500
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO ROSÉ;RUBI;15750
SHOPPING A;ALIANÇA;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;4500
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;2880
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;5400
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;3360
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;2200
SHOPPING A;ANEL;SEM MARCA;OURO BRANCO;SEM PEDRA;1000
SHOPPING A;BRINCO;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;2860
SHOPPING A;BRINCO;SEM MARCA;OURO AMARELO;SEM PEDRA;1300
SHOPPING A;PINGENTE;SEM MARCA;OURO ROSÉ;SEM PEDRA;400
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO BRANCO;OUTRAS PEDRAS;5280
SHOPPING A;COLAR;SEM MARCA;OURO BRANCO;RUBI;5250
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;DIAMANTE;13440
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;ESMERALDA;1000
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO AMARELO;RUBI;7200
SHOPPING A;CORRENTE;SEM MARCA;OURO BRANCO;SEM PEDRA;1800
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;OUTRAS PEDRAS;880
SHOPPING A;CORRENTE;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;3960
SHOPPING A;BRINCO;MARCA NACIONAL;OURO AMARELO;RUBI;5200
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;SEM PEDRA;2100
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO BRANCO;RUBI;3000
SHOPPING A;COLAR;SEM MARCA;OURO BRANCO;SEM PEDRA;2100
SHOPPING A;ANEL;SEM MARCA;OURO ROSÉ;SEM PEDRA;1000
SHOPPING A;BRINCO;MARCA INTERNACIONAL;OURO AMARELO;SEM PEDRA;3900
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO BRANCO;DIAMANTE;11520
SHOPPING A;BRINCO;SEM MARCA;OURO BRANCO;OUTRAS PEDRAS;2860
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO AMARELO;RUBI;1600
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO ROSÉ;RUBI;7200
SHOPPING A;ANEL;MARCA NACIONAL;OURO AMARELO;DIAMANTE;6400
SHOPPING A;PINGENTE;SEM MARCA;OURO ROSÉ;SEM PEDRA;400
SHOPPING A;ALIANÇA;SEM MARCA;OURO BRANCO;SEM PEDRA;1500
SHOPPING A;COLAR;MARCA NACIONAL;OURO ROSÉ;OUTRAS PEDRAS;7392
SHOPPING A;ANEL;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;3000
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;7392
SHOPPING A;CORRENTE;SEM MARCA;OURO AMARELO;ESMERALDA;4500
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO AMARELO;DIAMANTE;9600
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO ROSÉ;RUBI;6000
SHOPPING A;ANEL;SEM MARCA;OURO BRANCO;DIAMANTE;4000
SHOPPING A;ALIANÇA;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;3300
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;6336
SHOPPING A;ALIANÇA;SEM MARCA;OURO BRANCO;DIAMANTE;6000
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;SEM PEDRA;2100
SHOPPING A;COLAR;SEM MARCA;OURO BRANCO;ESMERALDA;5250
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;OUTRAS PEDRAS;880
SHOPPING A;COLAR;SEM MARCA;OURO BRANCO;SEM PEDRA;2100
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO BRANCO;TURMALINA PARAÍBA;3600
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO BRANCO;TURMALINA PARAÍBA;18900
SHOPPING A;PULSEIRA;SEM MARCA;OURO ROSÉ;RUBI;4500
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO AMARELO;SEM PEDRA;1200
SHOPPING A;BRINCO;MARCA NACIONAL;OURO ROSÉ;RUBI;5200
SHOPPING A;CORRENTE;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;3960
SHOPPING A;ANEL;SEM MARCA;OURO ROSÉ;SEM PEDRA;1000
SHOPPING A;COLAR;SEM MARCA;OURO BRANCO;SEM PEDRA;2100
SHOPPING A;ALIANÇA;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;3300
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;3360
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO ROSÉ;OUTRAS PEDRAS;5280
SHOPPING A;CORRENTE;SEM MARCA;OURO ROSÉ;DIAMANTE;7200
SHOPPING A;CORRENTE;MARCA INTERNACIONAL;OURO AMARELO;SEM PEDRA;5400
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO ROSÉ;OUTRAS PEDRAS;6336
SHOPPING A;ALIANÇA;SEM MARCA;OURO ROSÉ;DIAMANTE;6000
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO ROSÉ;ESMERALDA;15750
SHOPPING A;CORRENTE;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;5400
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO BRANCO;ESMERALDA;13500
SHOPPING A;PINGENTE;SEM MARCA;OURO ROSÉ;SEM PEDRA;400
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;2400
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO BRANCO;OUTRAS PEDRAS;5280
SHOPPING A;COLAR;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;3360
SHOPPING A;ALIANÇA;MARCA INTERNACIONAL;OURO AMARELO;RUBI;11250
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;2400
SHOPPING A;CORRENTE;MARCA INTERNACIONAL;OURO BRANCO;OUTRAS PEDRAS;11880
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO ROSÉ;SEM PEDRA;6300
SHOPPING A;CORRENTE;MARCA INTERNACIONAL;OURO ROSÉ;OUTRAS PEDRAS;11880
SHOPPING A;PINGENTE;SEM MARCA;OURO ROSÉ;DIAMANTE;1600
SHOPPING A;PINGENTE;SEM MARCA;OURO ROSÉ;SEM PEDRA;400
SHOPPING A;CORRENTE;SEM MARCA;OURO AMARELO;SEM PEDRA;1800
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;1200
SHOPPING A;COLAR;SEM MARCA;OURO ROSÉ;ESMERALDA;5250
SHOPPING A;ANEL;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;1600
SHOPPING A;CORRENTE;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;3960
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO BRANCO;DIAMANTE;11520
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO AMARELO;SEM PEDRA;5400
SHOPPING A;ALIANÇA;MARCA INTERNACIONAL;OURO BRANCO;TURMALINA PARAÍBA;13500
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;RUBI;1000
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO AMARELO;SEM PEDRA;5400
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;2400
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;SEM PEDRA;1000
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;RUBI;8400
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;RUBI;5250
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;DIAMANTE;8400
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;6336
SHOPPING A;ANEL;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;2200
SHOPPING A;PULSEIRA;SEM MARCA;OURO BRANCO;ESMERALDA;4500
SHOPPING A;PINGENTE;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;880
SHOPPING A;PULSEIRA;SEM MARCA;OURO ROSÉ;SEM PEDRA;1800
SHOPPING A;ANEL;SEM MARCA;OURO ROSÉ;SEM PEDRA;1000
SHOPPING A;ANEL;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;1600
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;640
SHOPPING A;ANEL;MARCA NACIONAL;OURO AMARELO;ESMERALDA;4000
SHOPPING A;ANEL;MARCA INTERNACIONAL;OURO ROSÉ;OUTRAS PEDRAS;6600
SHOPPING A;COLAR;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;3360
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;640
SHOPPING A;BRINCO;SEM MARCA;OURO BRANCO;DIAMANTE;5200
SHOPPING A;BRINCO;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;2860
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;SEM PEDRA;1000
SHOPPING A;BRINCO;SEM MARCA;OURO ROSÉ;ESMERALDA;3250
SHOPPING A;BRINCO;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;2080
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;SEM PEDRA;1000
SHOPPING A;BRINCO;MARCA INTERNACIONAL;OURO AMARELO;OUTRAS PEDRAS;8580
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO AMARELO;OUTRAS PEDRAS;11880
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;2400
SHOPPING A;PINGENTE;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;880
SHOPPING A;ALIANÇA;SEM MARCA;OURO ROSÉ;TURMALINA PARAÍBA;4500
SHOPPING A;ANEL;MARCA INTERNACIONAL;OURO AMARELO;OUTRAS PEDRAS;6600
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO ROSÉ;DIAMANTE;25200
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;ESMERALDA;1000
SHOPPING A;ANEL;MARCA NACIONAL;OURO ROSÉ;DIAMANTE;6400
SHOPPING A;COLAR;SEM MARCA;OURO ROSÉ;RUBI;5250
SHOPPING A;ALIANÇA;SEM MARCA;OURO AMARELO;SEM PEDRA;1500
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;SEM PEDRA;1000
SHOPPING A;PINGENTE;SEM MARCA;OURO ROSÉ;SEM PEDRA;400
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO AMARELO;RUBI;3000
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;2880
SHOPPING A;PULSEIRA;SEM MARCA;OURO BRANCO;RUBI;4500
SHOPPING A;BRINCO;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;4576
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;6300
SHOPPING A;CORRENTE;MARCA INTERNACIONAL;OURO AMARELO;RUBI;13500
SHOPPING A;BRINCO;SEM MARCA;OURO ROSÉ;DIAMANTE;5200
SHOPPING A;BRINCO;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;2860
SHOPPING A;ANEL;SEM MARCA;OURO BRANCO;SEM PEDRA;1000
SHOPPING A;BRINCO;SEM MARCA;OURO AMARELO;RUBI;3250
SHOPPING A;PULSEIRA;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;3960
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO BRANCO;OUTRAS PEDRAS;1408
SHOPPING A;CORRENTE;SEM MARCA;OURO ROSÉ;RUBI;4500
SHOPPING A;BRINCO;SEM MARCA;OURO BRANCO;DIAMANTE;5200
SHOPPING A;ANEL;SEM MARCA;OURO ROSÉ;TURMALINA PARAÍBA;3000
SHOPPING A;PULSEIRA;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;3960
SHOPPING A;ALIANÇA;SEM MARCA;OURO ROSÉ;ESMERALDA;3750
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;SEM PEDRA;400
SHOPPING A;PINGENTE;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;880
SHOPPING A;CORRENTE;SEM MARCA;OURO BRANCO;RUBI;4500
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;RUBI;1000
SHOPPING A;BRINCO;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;2080
SHOPPING A;ANEL;SEM MARCA;OURO BRANCO;RUBI;2500
SHOPPING A;PINGENTE;SEM MARCA;OURO ROSÉ;SEM PEDRA;400
SHOPPING A;PINGENTE;SEM MARCA;OURO AMARELO;RUBI;1000
SHOPPING A;ALIANÇA;MARCA INTERNACIONAL;OURO ROSÉ;SEM PEDRA;4500
SHOPPING A;ALIANÇA;SEM MARCA;OURO AMARELO;RUBI;3750
SHOPPING A;COLAR;MARCA NACIONAL;OURO ROSÉ;OUTRAS PEDRAS;7392
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;5400
SHOPPING A;BRINCO;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;2860
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO ROSÉ;DIAMANTE;4800
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;1408
SHOPPING A;ANEL;SEM MARCA;OURO BRANCO;OUTRAS PEDRAS;2200
SHOPPING A;COLAR;SEM MARCA;OURO ROSÉ;ESMERALDA;5250
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO BRANCO;RUBI;7200
SHOPPING A;COLAR;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;4620
SHOPPING A;CORRENTE;MARCA INTERNACIONAL;OURO ROSÉ;DIAMANTE;21600
SHOPPING A;PULSEIRA;SEM MARCA;OURO BRANCO;SEM PEDRA;1800
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO ROSÉ;RUBI;1600
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;OUTRAS PEDRAS;880
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO ROSÉ;OUTRAS PEDRAS;11880
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;1408
SHOPPING A;BRINCO;SEM MARCA;OURO BRANCO;DIAMANTE;5200
SHOPPING A;PULSEIRA;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;3960
SHOPPING A;COLAR;SEM MARCA;OURO ROSÉ;SEM PEDRA;2100
SHOPPING A;PULSEIRA;SEM MARCA;OURO AMARELO;ESMERALDA;4500
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;SEM PEDRA;400
SHOPPING A;BRINCO;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;2080
SHOPPING A;BRINCO;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;2080
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;2880
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO BRANCO;RUBI;15750
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;2400
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO ROSÉ;DIAMANTE;9600
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;2880
SHOPPING A;CORRENTE;SEM MARCA;OURO ROSÉ;SEM PEDRA;1800
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;SEM PEDRA;1000
SHOPPING A;PULSEIRA;SEM MARCA;OURO AMARELO;SEM PEDRA;1800
SHOPPING A;CORRENTE;SEM MARCA;OURO BRANCO;TURMALINA PARAÍBA;5400
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;RUBI;5250
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;TURMALINA PARAÍBA;6300
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO BRANCO;DIAMANTE;25200
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;3360
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;4620
SHOPPING A;CORRENTE;SEM MARCA;OURO BRANCO;ESMERALDA;4500
SHOPPING A;CORRENTE;SEM MARCA;OURO BRANCO;DIAMANTE;7200
SHOPPING A;BRINCO;SEM MARCA;OURO BRANCO;SEM PEDRA;1300
SHOPPING A;ALIANÇA;SEM MARCA;OURO ROSÉ;SEM PEDRA;1500
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO ROSÉ;SEM PEDRA;1200
SHOPPING A;COLAR;SEM MARCA;OURO BRANCO;SEM PEDRA;2100
SHOPPING A;ANEL;MARCA INTERNACIONAL;OURO BRANCO;ESMERALDA;7500
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO BRANCO;ESMERALDA;3000
SHOPPING A;CORRENTE;SEM MARCA;OURO ROSÉ;TURMALINA PARAÍBA;5400
SHOPPING A;ANEL;MARCA NACIONAL;OURO ROSÉ;OUTRAS PEDRAS;3520
SHOPPING A;ANEL;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;3520
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;RUBI;2500
SHOPPING A;BRINCO;SEM MARCA;OURO BRANCO;OUTRAS PEDRAS;2860
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;2880
SHOPPING A;ANEL;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;1600
SHOPPING A;COLAR;MARCA INTERNACIONAL;OURO ROSÉ;SEM PEDRA;6300
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO BRANCO;TURMALINA PARAÍBA;16200
SHOPPING A;ANEL;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;3520
SHOPPING A;BRINCO;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;3900
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;1408
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;2880
SHOPPING A;BRINCO;MARCA NACIONAL;OURO BRANCO;OUTRAS PEDRAS;4576
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;SEM PEDRA;1000
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;2880
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO ROSÉ;DIAMANTE;11520
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;SEM PEDRA;1000
SHOPPING A;BRINCO;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;3900
SHOPPING A;ALIANÇA;SEM MARCA;OURO BRANCO;SEM PEDRA;1500
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;7392
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO ROSÉ;ESMERALDA;1600
SHOPPING A;BRINCO;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;2080
SHOPPING A;CORRENTE;SEM MARCA;OURO AMARELO;TURMALINA PARAÍBA;5400
SHOPPING A;ANEL;MARCA INTERNACIONAL;OURO AMARELO;RUBI;7500
SHOPPING A;COLAR;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;3360
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;DIAMANTE;4000
SHOPPING A;CORRENTE;SEM MARCA;OURO ROSÉ;SEM PEDRA;1800
SHOPPING A;ANEL;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;1600
SHOPPING A;ALIANÇA;SEM MARCA;OURO BRANCO;RUBI;3750
SHOPPING A;COLAR;SEM MARCA;OURO BRANCO;SEM PEDRA;2100
SHOPPING A;COLAR;MARCA NACIONAL;OURO BRANCO;ESMERALDA;8400
SHOPPING A;CORRENTE;SEM MARCA;OURO BRANCO;RUBI;4500
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;640
SHOPPING A;ALIANÇA;SEM MARCA;OURO AMARELO;ESMERALDA;3750
SHOPPING A;BRINCO;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;2080
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;2200
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO AMARELO;DIAMANTE;11520
SHOPPING A;ANEL;SEM MARCA;OURO BRANCO;OUTRAS PEDRAS;2200
SHOPPING A;ANEL;MARCA NACIONAL;OURO ROSÉ;ESMERALDA;4000
SHOPPING A;BRINCO;SEM MARCA;OURO AMARELO;SEM PEDRA;1300
SHOPPING A;ANEL;MARCA INTERNACIONAL;OURO ROSÉ;TURMALINA PARAÍBA;9000
SHOPPING A;ALIANÇA;MARCA NACIONAL;OURO AMARELO;OUTRAS PEDRAS;5280
SHOPPING A;ALIANÇA;MARCA INTERNACIONAL;OURO AMARELO;TURMALINA PARAÍBA;13500
SHOPPING A;COLAR;MARCA NACIONAL;OURO ROSÉ;OUTRAS PEDRAS;7392
SHOPPING A;CORRENTE;SEM MARCA;OURO BRANCO;OUTRAS PEDRAS;3960
SHOPPING A;PINGENTE;MARCA INTERNACIONAL;OURO AMARELO;SEM PEDRA;1200
SHOPPING A;PULSEIRA;SEM MARCA;OURO AMARELO;SEM PEDRA;1800
SHOPPING A;ANEL;SEM MARCA;OURO AMARELO;TURMALINA PARAÍBA;3000
SHOPPING A;ANEL;SEM MARCA;OURO ROSÉ;DIAMANTE;4000
SHOPPING A;BRINCO;MARCA NACIONAL;OURO BRANCO;OUTRAS PEDRAS;4576
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO ROSÉ;OUTRAS PEDRAS;6336
SHOPPING A;ALIANÇA;SEM MARCA;OURO ROSÉ;SEM PEDRA;1500
SHOPPING A;PULSEIRA;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;5400
SHOPPING A;COLAR;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;4620
SHOPPING A;ALIANÇA;SEM MARCA;OURO BRANCO;SEM PEDRA;1500
SHOPPING A;CORRENTE;SEM MARCA;OURO AMARELO;OUTRAS PEDRAS;3960
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;DIAMANTE;1600
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;RUBI;5250
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO ROSÉ;SEM PEDRA;640
SHOPPING A;BRINCO;MARCA NACIONAL;OURO ROSÉ;TURMALINA PARAÍBA;6240
SHOPPING A;BRINCO;SEM MARCA;OURO AMARELO;DIAMANTE;5200
SHOPPING A;ANEL;SEM MARCA;OURO ROSÉ;ESMERALDA;2500
SHOPPING A;PINGENTE;SEM MARCA;OURO BRANCO;SEM PEDRA;400
SHOPPING A;CORRENTE;MARCA INTERNACIONAL;OURO AMARELO;RUBI;13500
SHOPPING A;PULSEIRA;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;3960
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;3360
SHOPPING A;ALIANÇA;MARCA INTERNACIONAL;OURO BRANCO;SEM PEDRA;4500
SHOPPING A;CORRENTE;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;2880
SHOPPING A;CORRENTE;MARCA INTERNACIONAL;OURO ROSÉ;TURMALINA PARAÍBA;16200
SHOPPING A;BRINCO;SEM MARCA;OURO BRANCO;TURMALINA PARAÍBA;3900
SHOPPING A;PINGENTE;MARCA NACIONAL;OURO AMARELO;ESMERALDA;1600
SHOPPING A;ANEL;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;1600
SHOPPING A;ANEL;MARCA NACIONAL;OURO AMARELO;SEM PEDRA;1600
SHOPPING A;COLAR;SEM MARCA;OURO AMARELO;ESMERALDA;5250
SHOPPING A;BRINCO;SEM MARCA;OURO BRANCO;DIAMANTE;5200
SHOPPING A;CORRENTE;SEM MARCA;OURO ROSÉ;OUTRAS PEDRAS;3960
SHOPPING A;PULSEIRA;MARCA NACIONAL;OURO BRANCO;SEM PEDRA;2880
SHOPPING A;BRINCO;MARCA INTERNACIONAL;OURO AMARELO;RUBI;9750
SHOPPING A;COLAR;MARCA NACIONAL;OURO AMARELO;DIAMANTE;13440
SHOPPING A;COLAR;SEM MARCA;OURO BRANCO;DIAMANTE;8400
SHOPPING A;BRINCO;MARCA INTERNACIONAL;OURO ROSÉ;RUBI;9750
