DATA;TIPO_JOIA;TIPO_OURO;TIPO_PEDRA;MARCA;LOCALIZACAO_LOJA;PERFIL_CLIENTE;PRECO
2022-01;PINGENTE;OURO AMARELO;RUBI;MARCA INTERNACIONAL;SHOPPING A;MILLENNIALS;3000
2022-01;ALIANÇA;OURO BRANCO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;4500
2022-01;ANEL;OURO AMARELO;RUBI;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;7500
2022-01;BRINCO;OURO AMARELO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO X;8580
2022-01;CORRENTE;OURO ROSÉ;ESMERALDA;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;13500
2022-01;BRINCO;OURO AMARELO;RUBI;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO Z;9750
2022-01;COLAR;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING A;MILLENNIALS;3360
2022-01;ANEL;OURO AMARELO;TURMALINA PARAÍBA;MARCA INTERNACIONAL;SHOPPING A;MILLENNIALS;9000
2022-01;BRINCO;OURO BRANCO;ESMERALDA;MARCA INTERNACIONAL;SHOPPING A;GERAÇÃO X;9750
2022-01;COLAR;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING A;BABY BOOMER;13860
2022-01;COLAR;OURO BRANCO;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING B;MILLENNIALS;10080
2022-01;BRINCO;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO X;8580
2022-01;ANEL;OURO AMARELO;SEM PEDRA;SEM MARCA;SHOPPING B;GERAÇÃO X;1000
2022-01;ALIANÇA;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;SHOPPING B;GERAÇÃO X;2400
2022-01;BRINCO;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;SHOPPING B;MILLENNIALS;2080
2022-01;PINGENTE;OURO BRANCO;RUBI;SEM MARCA;SHOPPING B;GERAÇÃO Z;1000
2022-01;ANEL;OURO ROSÉ;TURMALINA PARAÍBA;SEM MARCA;SHOPPING B;BABY BOOMER;3000
2022-01;ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO Z;4500
2022-01;PULSEIRA;OURO ROSÉ;ESMERALDA;SEM MARCA;SHOPPING B;GERAÇÃO Z;4500
2022-01;PINGENTE;OURO BRANCO;TURMALINA PARAÍBA;MARCA INTERNACIONAL;SHOPPING B;MILLENNIALS;3600
2022-01;BRINCO;OURO BRANCO;SEM PEDRA;SEM MARCA;SHOPPING B;BABY BOOMER;1300
2022-01;ANEL;OURO ROSÉ;ESMERALDA;MARCA NACIONAL;SHOPPING B;GERAÇÃO X;4000
2022-01;CORRENTE;OURO ROSÉ;DIAMANTE;MARCA NACIONAL;SHOPPING B;GERAÇÃO Z;11520
2022-01;COLAR;OURO AMARELO;DIAMANTE;MARCA INTERNACIONAL;SHOPPING B;MILLENNIALS;25200
2022-01;ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING B;GERAÇÃO Z;2400
2022-01;PULSEIRA;OURO ROSÉ;ESMERALDA;SEM MARCA;SHOPPING B;GERAÇÃO X;4500
2022-01;ANEL;OURO ROSÉ;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO Z;3000
2022-01;COLAR;OURO BRANCO;ESMERALDA;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO Z;15750
2022-01;COLAR;OURO BRANCO;ESMERALDA;SEM MARCA;SHOPPING B;GERAÇÃO X;5250
2022-01;ALIANÇA;OURO BRANCO;SEM PEDRA;SEM MARCA;SHOPPING B;MILLENNIALS;1500
2022-01;PULSEIRA;OURO AMARELO;RUBI;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO Z;13500
2022-01;ANEL;OURO ROSÉ;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO Z;6600
2022-01;PINGENTE;OURO BRANCO;RUBI;SEM MARCA;SHOPPING B;BABY BOOMER;1000
2022-01;PULSEIRA;OURO AMARELO;ESMERALDA;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO Z;13500
2022-01;CORRENTE;OURO AMARELO;SEM PEDRA;SEM MARCA;SHOPPING B;GERAÇÃO X;1800
2022-01;ANEL;OURO BRANCO;ESMERALDA;SEM MARCA;SHOPPING B;GERAÇÃO Z;2500
2022-01;BRINCO;OURO BRANCO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING B;BABY BOOMER;3900
2022-01;PULSEIRA;OURO BRANCO;ESMERALDA;MARCA INTERNACIONAL;SHOPPING B;BABY BOOMER;13500
2022-01;ANEL;OURO AMARELO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING B;GERAÇÃO X;3520
2022-01;BRINCO;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING B;GERAÇÃO X;4576
2022-01;BRINCO;OURO ROSÉ;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING B;BABY BOOMER;8580
2022-01;ALIANÇA;OURO ROSÉ;DIAMANTE;SEM MARCA;SHOPPING B;BABY BOOMER;6000
2022-01;PULSEIRA;OURO AMARELO;TURMALINA PARAÍBA;MARCA INTERNACIONAL;SHOPPING B;BABY BOOMER;16200
2022-01;ANEL;OURO AMARELO;OUTRAS PEDRAS;SEM MARCA;SHOPPING B;MILLENNIALS;2200
2022-01;PINGENTE;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING B;MILLENNIALS;1408
2022-01;ANEL;OURO AMARELO;DIAMANTE;MARCA NACIONAL;SHOPPING B;MILLENNIALS;6400
2022-01;COLAR;OURO AMARELO;ESMERALDA;MARCA INTERNACIONAL;SHOPPING B;BABY BOOMER;15750
2022-01;PINGENTE;OURO BRANCO;SEM PEDRA;MARCA NACIONAL;SHOPPING B;BABY BOOMER;640
2022-01;ALIANÇA;OURO AMARELO;SEM PEDRA;SEM MARCA;SHOPPING B;GERAÇÃO Z;1500
2022-01;ALIANÇA;OURO BRANCO;SEM PEDRA;SEM MARCA;SHOPPING B;MILLENNIALS;1500
2022-01;BRINCO;OURO BRANCO;TURMALINA PARAÍBA;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO X;11700
2022-01;ANEL;OURO AMARELO;DIAMANTE;MARCA NACIONAL;SHOPPING B;BABY BOOMER;6400
2022-01;BRINCO;OURO AMARELO;OUTRAS PEDRAS;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO Z;8580
2022-01;BRINCO;OURO ROSÉ;RUBI;MARCA NACIONAL;SHOPPING B;MILLENNIALS;5200
2022-01;BRINCO;OURO BRANCO;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING B;BABY BOOMER;6240
2022-01;ANEL;OURO BRANCO;SEM PEDRA;SEM MARCA;SHOPPING B;BABY BOOMER;1000
2022-01;ALIANÇA;OURO ROSÉ;DIAMANTE;MARCA NACIONAL;SHOPPING B;GERAÇÃO X;9600
2022-01;BRINCO;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING B;BABY BOOMER;2080
2022-01;PINGENTE;OURO AMARELO;OUTRAS PEDRAS;SEM MARCA;SHOPPING B;BABY BOOMER;880
2022-01;ANEL;OURO AMARELO;OUTRAS PEDRAS;SEM MARCA;SHOPPING B;MILLENNIALS;2200
2022-01;ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO X;4500
2022-01;BRINCO;OURO AMARELO;ESMERALDA;MARCA NACIONAL;SHOPPING B;GERAÇÃO Z;5200
2022-01;ALIANÇA;OURO ROSÉ;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING B;GERAÇÃO Z;4500
2022-01;BRINCO;OURO AMARELO;DIAMANTE;SEM MARCA;SHOPPING B;GERAÇÃO X;5200
2022-01;BRINCO;OURO BRANCO;DIAMANTE;MARCA NACIONAL;SHOPPING B;GERAÇÃO Z;8320
2022-01;PINGENTE;OURO BRANCO;SEM PEDRA;MARCA NACIONAL;SHOPPING B;BABY BOOMER;640
2022-01;ALIANÇA;OURO AMARELO;SEM PEDRA;SEM MARCA;SHOPPING B;GERAÇÃO X;1500
2022-01;PINGENTE;OURO AMARELO;ESMERALDA;MARCA NACIONAL;SHOPPING B;GERAÇÃO Z;1600
2022-01;CORRENTE;OURO ROSÉ;SEM PEDRA;SEM MARCA;SHOPPING B;BABY BOOMER;1800
2022-01;ALIANÇA;OURO BRANCO;DIAMANTE;SEM MARCA;SHOPPING B;BABY BOOMER;6000
2022-01;ALIANÇA;OURO AMARELO;DIAMANTE;MARCA INTERNACIONAL;SHOPPING B;BABY BOOMER;18000
2022-01;ANEL;OURO AMARELO;RUBI;MARCA NACIONAL;SHOPPING B;GERAÇÃO Z;4000
2022-01;ANEL;OURO AMARELO;RUBI;MARCA INTERNACIONAL;SHOPPING B;MILLENNIALS;7500
2022-01;PULSEIRA;OURO AMARELO;ESMERALDA;MARCA NACIONAL;SHOPPING C;MILLENNIALS;7200
2022-01;COLAR;OURO BRANCO;DIAMANTE;SEM MARCA;SHOPPING C;BABY BOOMER;8400
2022-01;ALIANÇA;OURO BRANCO;DIAMANTE;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;9600
2022-01;BRINCO;OURO ROSÉ;ESMERALDA;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;5200
2022-01;CORRENTE;OURO BRANCO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING C;BABY BOOMER;6336
2022-01;ANEL;OURO ROSÉ;RUBI;SEM MARCA;SHOPPING C;MILLENNIALS;2500
2022-01;BRINCO;OURO AMARELO;ESMERALDA;MARCA NACIONAL;SHOPPING C;MILLENNIALS;5200
2022-01;PINGENTE;OURO BRANCO;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;1920
2022-01;PULSEIRA;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;6336
2022-01;PULSEIRA;OURO ROSÉ;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING C;MILLENNIALS;8640
2022-01;ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING C;GERAÇÃO X;4500
2022-01;CORRENTE;OURO AMARELO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING C;BABY BOOMER;6336
2022-01;COLAR;OURO ROSÉ;DIAMANTE;SEM MARCA;SHOPPING C;BABY BOOMER;8400
2022-01;PULSEIRA;OURO ROSÉ;RUBI;MARCA NACIONAL;SHOPPING C;GERAÇÃO Z;7200
2022-01;COLAR;OURO AMARELO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING C;BABY BOOMER;7392
2022-01;PINGENTE;OURO AMARELO;SEM PEDRA;SEM MARCA;SHOPPING C;BABY BOOMER;400
2022-01;BRINCO;OURO BRANCO;SEM PEDRA;SEM MARCA;SHOPPING C;BABY BOOMER;1300
2022-01;PULSEIRA;OURO BRANCO;OUTRAS PEDRAS;SEM MARCA;SHOPPING C;GERAÇÃO X;3960
2022-01;ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;2400
2022-01;ANEL;OURO BRANCO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;BABY BOOMER;1600
2022-01;BRINCO;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;GERAÇÃO Z;2080
2022-01;COLAR;OURO ROSÉ;OUTRAS PEDRAS;SEM MARCA;SHOPPING C;GERAÇÃO Z;4620
2022-01;BRINCO;OURO BRANCO;ESMERALDA;SEM MARCA;SHOPPING C;GERAÇÃO Z;3250
2022-01;COLAR;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING C;MILLENNIALS;7392
2022-01;ANEL;OURO BRANCO;RUBI;MARCA NACIONAL;SHOPPING C;MILLENNIALS;4000
2022-01;ANEL;OURO ROSÉ;TURMALINA PARAÍBA;SEM MARCA;SHOPPING C;BABY BOOMER;3000
2022-01;CORRENTE;OURO BRANCO;TURMALINA PARAÍBA;SEM MARCA;SHOPPING C;BABY BOOMER;5400
2022-01;BRINCO;OURO AMARELO;ESMERALDA;MARCA NACIONAL;SHOPPING C;BABY BOOMER;5200
2022-01;PULSEIRA;OURO ROSÉ;ESMERALDA;MARCA NACIONAL;SHOPPING C;GERAÇÃO Z;7200
2022-01;PULSEIRA;OURO ROSÉ;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING C;GERAÇÃO Z;8640
2022-01;ALIANÇA;OURO BRANCO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;2400
2022-01;ALIANÇA;OURO AMARELO;SEM PEDRA;SEM MARCA;SHOPPING C;GERAÇÃO X;1500
2022-01;COLAR;OURO BRANCO;SEM PEDRA;SEM MARCA;SHOPPING C;MILLENNIALS;2100
2022-01;ANEL;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;GERAÇÃO Z;1600
2022-01;ALIANÇA;OURO ROSÉ;DIAMANTE;MARCA NACIONAL;SHOPPING C;MILLENNIALS;9600
2022-01;PINGENTE;OURO BRANCO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;1408
2022-01;ALIANÇA;OURO AMARELO;DIAMANTE;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;9600
2022-01;BRINCO;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;MILLENNIALS;2080
2022-01;COLAR;OURO AMARELO;RUBI;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;8400
2022-01;BRINCO;OURO AMARELO;RUBI;MARCA INTERNACIONAL;SHOPPING C;BABY BOOMER;9750
2022-01;PULSEIRA;OURO AMARELO;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING C;BABY BOOMER;8640
2022-01;ANEL;OURO BRANCO;TURMALINA PARAÍBA;MARCA INTERNACIONAL;SHOPPING C;BABY BOOMER;9000
2022-01;COLAR;OURO AMARELO;ESMERALDA;MARCA NACIONAL;SHOPPING C;GERAÇÃO Z;8400
2022-01;ALIANÇA;OURO ROSÉ;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING C;GERAÇÃO X;4500
2022-01;CORRENTE;OURO BRANCO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;BABY BOOMER;2880
2022-01;COLAR;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;3360
2022-01;ANEL;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;1600
2022-01;CORRENTE;OURO ROSÉ;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING C;MILLENNIALS;5400
2022-01;ALIANÇA;OURO BRANCO;SEM PEDRA;MARCA INTERNACIONAL;SHOPPING C;BABY BOOMER;4500
2022-01;ALIANÇA;OURO ROSÉ;DIAMANTE;MARCA INTERNACIONAL;SHOPPING C;BABY BOOMER;18000
2022-01;BRINCO;OURO ROSÉ;RUBI;MARCA NACIONAL;SHOPPING C;BABY BOOMER;5200
2022-01;PINGENTE;OURO ROSÉ;RUBI;SEM MARCA;SHOPPING C;GERAÇÃO Z;1000
2022-01;ALIANÇA;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;SHOPPING C;MILLENNIALS;2400
2022-01;BRINCO;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;4576
2022-01;PINGENTE;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;BABY BOOMER;640
2022-01;CORRENTE;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;2880
2022-01;PULSEIRA;OURO BRANCO;TURMALINA PARAÍBA;MARCA INTERNACIONAL;SHOPPING C;MILLENNIALS;16200
2022-01;BRINCO;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING C;BABY BOOMER;2080
2022-01;PULSEIRA;OURO AMARELO;DIAMANTE;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;11520
2022-01;ANEL;OURO ROSÉ;ESMERALDA;MARCA NACIONAL;SHOPPING C;MILLENNIALS;4000
2022-01;PULSEIRA;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;6336
2022-01;BRINCO;OURO ROSÉ;DIAMANTE;MARCA NACIONAL;SHOPPING C;GERAÇÃO X;8320
2022-01;PULSEIRA;OURO BRANCO;SEM PEDRA;SEM MARCA;SHOPPING C;GERAÇÃO Z;1800
2022-01;PINGENTE;OURO AMARELO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING D;GERAÇÃO X;1408
2022-01;CORRENTE;OURO ROSÉ;ESMERALDA;MARCA NACIONAL;SHOPPING D;BABY BOOMER;7200
2022-01;ANEL;OURO AMARELO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING D;GERAÇÃO X;3520
2022-01;BRINCO;OURO BRANCO;OUTRAS PEDRAS;SEM MARCA;SHOPPING D;BABY BOOMER;2860
2022-01;BRINCO;OURO BRANCO;RUBI;MARCA NACIONAL;SHOPPING D;BABY BOOMER;5200
2022-01;PULSEIRA;OURO AMARELO;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING D;BABY BOOMER;8640
2022-01;ALIANÇA;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;SHOPPING D;MILLENNIALS;2400
2022-01;PINGENTE;OURO ROSÉ;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING D;BABY BOOMER;1920
2022-01;ALIANÇA;OURO ROSÉ;SEM PEDRA;SEM MARCA;SHOPPING D;GERAÇÃO Z;1500
2022-01;ALIANÇA;OURO BRANCO;SEM PEDRA;SEM MARCA;SHOPPING D;BABY BOOMER;1500
2022-01;ALIANÇA;OURO BRANCO;SEM PEDRA;SEM MARCA;SHOPPING D;BABY BOOMER;1500
2022-01;COLAR;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING D;GERAÇÃO Z;3360
2022-01;PULSEIRA;OURO AMARELO;DIAMANTE;SEM MARCA;SHOPPING D;GERAÇÃO X;7200
2022-01;CORRENTE;OURO ROSÉ;ESMERALDA;SEM MARCA;SHOPPING D;GERAÇÃO X;4500
2022-01;COLAR;OURO AMARELO;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING D;MILLENNIALS;10080
2022-01;ANEL;OURO BRANCO;ESMERALDA;MARCA NACIONAL;SHOPPING D;GERAÇÃO X;4000
2022-01;PULSEIRA;OURO BRANCO;RUBI;MARCA NACIONAL;SHOPPING D;GERAÇÃO Z;7200
2022-01;COLAR;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING D;GERAÇÃO X;3360
2022-01;BRINCO;OURO BRANCO;RUBI;MARCA NACIONAL;SHOPPING D;MILLENNIALS;5200
2022-01;COLAR;OURO BRANCO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING D;BABY BOOMER;7392
2022-01;BRINCO;OURO ROSÉ;ESMERALDA;SEM MARCA;SHOPPING D;GERAÇÃO X;3250
2022-01;BRINCO;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING D;MILLENNIALS;2080
2022-01;CORRENTE;OURO ROSÉ;DIAMANTE;MARCA NACIONAL;SHOPPING D;GERAÇÃO Z;11520
2022-01;CORRENTE;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;SHOPPING D;MILLENNIALS;2880
2022-01;PINGENTE;OURO ROSÉ;ESMERALDA;MARCA NACIONAL;SHOPPING D;BABY BOOMER;1600
2022-01;ANEL;OURO AMARELO;OUTRAS PEDRAS;MARCA NACIONAL;SHOPPING D;GERAÇÃO X;3520
2022-01;PINGENTE;OURO ROSÉ;ESMERALDA;SEM MARCA;SHOPPING D;MILLENNIALS;1000
2022-01;PULSEIRA;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;SHOPPING D;BABY BOOMER;2880
2022-01;PULSEIRA;OURO BRANCO;TURMALINA PARAÍBA;MARCA NACIONAL;SHOPPING D;MILLENNIALS;8640
2022-01;PINGENTE;OURO BRANCO;ESMERALDA;SEM MARCA;SHOPPING D;GERAÇÃO X;1000
2022-01;PULSEIRA;OURO BRANCO;RUBI;SEM MARCA;SHOPPING D;GERAÇÃO X;4500
2022-01;ANEL;OURO BRANCO;ESMERALDA;MARCA NACIONAL;SHOPPING D;BABY BOOMER;4000
2022-01;BRINCO;OURO BRANCO;ESMERALDA;MARCA NACIONAL;SHOPPING D;GERAÇÃO X;5200
2022-01;PULSEIRA;OURO AMARELO;ESMERALDA;MARCA NACIONAL;SHOPPING D;GERAÇÃO X;7200
