TIPO_JOIA;TIPO_OURO;TIPO_PEDRA;MARCA;PRECO
BRINCO;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;4576
BRINCO;OURO AMARELO;DIAMANTE;SEM MARCA;5200
BRINCO;OURO BRANCO;SEM PEDRA;SEM MARCA;1300
BRINCO;OURO AMARELO;OUTRAS PEDRAS;SEM MARCA;2860
BRINCO;OURO BRANCO;RUBI;SEM MARCA;3250
BRINCO;OURO AMARELO;ESMERALDA;SEM MARCA;3250
ANEL;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;3000
ANEL;OURO BRANCO;SEM PEDRA;MARCA INTERNACIONAL;3000
ANEL;OURO AMARELO;RUBI;MARCA NACIONAL;4000
ANEL;OURO BRANCO;RUBI;MARCA INTERNACIONAL;7500
ANEL;OURO AMARELO;OUTRAS PEDRAS;MARCA INTERNACIONAL;6600
ANEL;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;6600
ANEL;OURO AMARELO;DIAMANTE;MARCA INTERNACIONAL;12000
ANEL;OURO BRANCO;DIAMANTE;MARCA INTERNACIONAL;12000
ANEL;OURO AMARELO;ESMERALDA;MARCA INTERNACIONAL;7500
ANEL;OURO BRANCO;ESMERALDA;MARCA INTERNACIONAL;7500
ANEL;OURO ROSÉ;SEM PEDRA;MARCA NACIONAL;1600
ANEL;OURO AMARELO;TURMALINA PARAÍBA;MARCA INTERNACIONAL;9000
ANEL;OURO BRANCO;TURMALINA PARAÍBA;MARCA INTERNACIONAL;9000
ANEL;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;1600
ANEL;OURO BRANCO;SEM PEDRA;MARCA NACIONAL;1600
ANEL;OURO AMARELO;RUBI;MARCA INTERNACIONAL;7500
ANEL;OURO BRANCO;RUBI;MARCA NACIONAL;4000
ANEL;OURO AMARELO;OUTRAS PEDRAS;MARCA NACIONAL;3520
ANEL;OURO BRANCO;OUTRAS PEDRAS;MARCA NACIONAL;3520
ANEL;OURO AMARELO;DIAMANTE;MARCA NACIONAL;6400
ANEL;OURO BRANCO;DIAMANTE;MARCA NACIONAL;6400
ANEL;OURO AMARELO;ESMERALDA;MARCA NACIONAL;4000
ANEL;OURO BRANCO;ESMERALDA;MARCA NACIONAL;4000
ANEL;OURO ROSÉ;OUTRAS PEDRAS;MARCA NACIONAL;3520
ANEL;OURO AMARELO;SEM PEDRA;SEM MARCA;1000
ANEL;OURO BRANCO;SEM PEDRA;SEM MARCA;1000
ANEL;OURO AMARELO;RUBI;SEM MARCA;2500
ANEL;OURO BRANCO;RUBI;SEM MARCA;2500
ANEL;OURO AMARELO;OUTRAS PEDRAS;SEM MARCA;2200
ANEL;OURO BRANCO;OUTRAS PEDRAS;SEM MARCA;2200
ANEL;OURO AMARELO;DIAMANTE;SEM MARCA;4000
ANEL;OURO BRANCO;DIAMANTE;SEM MARCA;4000
ANEL;OURO AMARELO;ESMERALDA;SEM MARCA;2500
ANEL;OURO BRANCO;ESMERALDA;SEM MARCA;2500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;4500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;2400
ALIANÇA;OURO AMARELO;DIAMANTE;MARCA INTERNACIONAL;18000
ALIANÇA;OURO AMARELO;DIAMANTE;MARCA NACIONAL;9600
ALIANÇA;OURO AMARELO;SEM PEDRA;SEM MARCA;1500
ALIANÇA;OURO AMARELO;DIAMANTE;SEM MARCA;6000
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;4500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;2400
ALIANÇA;OURO AMARELO;SEM PEDRA;SEM MARCA;1500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;4500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;2400
ALIANÇA;OURO AMARELO;SEM PEDRA;SEM MARCA;1500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;4500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;2400
ALIANÇA;OURO AMARELO;SEM PEDRA;SEM MARCA;1500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;4500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;2400
ALIANÇA;OURO AMARELO;SEM PEDRA;SEM MARCA;1500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;4500
ALIANÇA;OURO AMARELO;SEM PEDRA;MARCA NACIONAL;2400
ALIANÇA;OURO AMARELO;SEM PEDRA;SEM MARCA;1500
COLAR;OURO AMARELO;SEM PEDRA;MARCA INTERNACIONAL;6300
COLAR;OURO BRANCO;SEM PEDRA;MARCA INTERNACIONAL;6300
COLAR;OURO AMARELO;OUTRAS PEDRAS;MARCA INTERNACIONAL;13860
COLAR;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;13860
COLAR;OURO AMARELO;DIAMANTE;MARCA INTERNACIONAL;25200
PULSEIRA;OURO BRANCO;OUTRAS PEDRAS;MARCA INTERNACIONAL;11880
PULSEIRA;OURO AMARELO;DIAMANTE;MARCA INTERNACIONAL;21600
PULSEIRA;OURO BRANCO;DIAMANTE;MARCA INTERNACIONAL;21600
PULSEIRA;OURO AMARELO;ESMERALDA;MARCA INTERNACIONAL;13500
PULSEIRA;OURO BRANCO;ESMERALDA;MARCA INTERNACIONAL;13500
